BranchID,BankID,BranchName,BranchCode,Address,SortCode,Phone#1,Phone#2,FaxNumber,EMail,Comment
1,10,"קש"ב",2,"קרית שרותי בל"ל, ת"ד 88 לוד 71100",,03-9464999,,03-9465015,,
2,10,תעשיה אוירית,6,"מפעלי התעשיה האוירית לוד נתב"ג 70100",,03-9722133,,03-9722134,,
3,10,מכון וייצמן,9,"מכון וייצמן, בנין היובל רחובות 76270",,08-9464979,,08-9465015,,
4,10,שלוחת בני ברק,10,זבוטינסקי 7 בני ברק ,,03-6164660,,03-5796227,,
5,10,אל על,11,"נתב"ג, בנין אל על לוד נתב"ג 70100",,03-9722119,,03-9722144,,
6,10,להבים,12,מרכז מסחרי להבים להבים ,,08-6512919,,08-6512996,,
7,10,צורן,13,מרכז מסחרי צורן צורן ,,09-8985058,,09-8985069,,
8,10,המפרש,14,"פל ים 15 א', בנין ב', קרית הממשלה חיפה ",,04-8640225,,04-8640060,,
9,10,"בית אבות "מגדלי הים התיכון",50,סירני 58 כפר סבא ,,,,,,
10,10,"בית אבות "הדרים בכפר",51,בן יהודה 77 כפר סבא ,,,,,,
11,10,"בית אבות "בית בכפר",52,בן יהודה 71 כפר סבא ,,,,,,
12,10,"בית אבות "בית גיל פז",53,תל חי 4 כפר סבא ,,,,,,
13,10,"בית אבות "זרע סלומון",54,נתיב האבות 1 כפר סבא ,,,,,,
14,10,"בית אבות "משען פיכמן",55,פיכמן 4 תל אביב ,,,,,,
15,10,"בית אבות "משען נווה אביבים",56,ברודצקי 68 תל אביב ,,,,,,
16,10,"בית אבות "רמת אפעל",57,שדרות הארזים 2 רמת אפעל ,,,,,,
17,10,"בית אבות "מעונות מכבי",58,שדרות בן צבי 35 ירושלים ,,,,,,
18,10,נווה דור דיור מוגן,59,משה דיין 8 קרית טבעון ,,,,,,
19,10,משען הבית בגן,60,מצולות ים 9 גבעתיים ,,,,,,
20,10,מעונות מכבי בית אילדן,61,חשמונאים 76 קרית מוצקין ,,,,,,
21,10,ככר המדינה,603,ה' באייר 76 תל אביב 62198,,03-5424511,,03-5424535,,
22,10,"בנקאות פרטית בינלאומית 606 ת"א",606,דיזנגוף 50 תל אביב ,,03-6217444,,03-6217555,,
23,10,עסקים באר שבע,607,העצמאות 54 באר שבע 84214,,08-6462888,,08-6462882,,
24,10,עסקים המסגר,609,המסגר 44 תל אביב 67214,,03-6365333,,03-6365355,,
25,10,המעפילים,616,"השלושה 9, פינת נירים, יד אליהו תל אביב 67060",,03-7911333,,03-7911355,,
26,10,עסקים אשדוד,618,שד' הרצל 1 אשדוד 77385,,08-8687333,,08-8687355,,
27,10,עמק ברכה,624,עמק הברכה 23 תל אביב 67456,,03-6077333,,03-6077355,,
28,10,נוה אביבים,625,רב אשי 18 תל אביב 69395,,03-6400333,,03-6400355,,
29,10,מגדלי דוד,627,אורי 12 תל אביב 64684,,03-7254333,,03-7254355,,
30,10,רמת אביב ג',628,אחימאיר 21 תל אביב 69492,,03-7459333,,03-7459355,,
31,10,בורסת היהלומים,629,ז'בוטינסקי 1 רמת גן 52130,,03-5759922,,03-5759210,,
32,10,למד,631,"האוזנר 3, תכנית ל' תל אביב 69363",,03-6984311,,03-6984306,,
33,10,עסקים חדרה,639,הרברט סמואל 58 חדרה 38204,,04-6340666,,04-6340655,,
34,10,יחידת בצוע-נהול אשראי מרוכז,646,לילינבלום 12 תל אביב 65131,,03-5148111,,03-5147399,,
35,10,עסקים החרושת,651,"המשביר 5, אזור התעשיה חולון 58852",,03-5579333,,03-5579355,,
36,10,כפר קאסם,652,"כפר קאסם, הרחוב הראשי כפר קאסם 49940",,03-9079311,,03-9079329,,
37,10,תל השומר,653,"תל השומר, מרכז מסחרי גמיון רמת גן 52621",,03-7381311,,03-7381322,,
38,10,עסקים אלונים,654,"יגאל אלון 63, מגדלי טויוטה תל אביב 67891",,03-7616333,,03-7616355,,
39,10,קסם,655,הירדן 77-79 רמת גן 52333,,03-6713333,,03-6713355,,
40,10,קרית שרת,657,"מרכז מסחרי, קרית שרת חולון 58419",,03-5570333,,03-5570355,,
41,10,אוסישקין,665,אוסישקין 3 רמת השרון 47210,,03-7600333,,03-7600355,,
42,10,ההלכה,666,ביאליק 125 רמת גן 52523,,03-6119333,,03-6119355,,
43,10,היקב,669,"זד"ל 7 ראשון לציון 75266",,03-9484333,,03-9484355,,
44,10,עסקים קרית אריה,670,ז'בוטינסקי 110 פתח תקוה 49517,,03-9288333,,03-9288355,,
45,10,עסקים ראשון לציון,671,"סחרוב 5, קניון דאון טאון ראשון לציון 75707",,03-9537333,,03-9537355,,
46,10,אור יהודה,676,"ההגנה 20, קניון קנאור אור יהודה 60214",,03-7355333,,03-7355355,,
47,10,הישיר הראשון,678,"יוני נתניהו 5, ת"ד 226 אור יהודה 60250",,03-5389777,,03-5331123,,
48,10,מודיעין,680,"צאלון 21, מודיעין סנטר מודיעין 71908",,08-9269333,,08-9269355,,
49,10,רמת פולג,681,זלמן שזר 10 נתניה 42493,,09-8645311,,09-8645322,,
50,10,עסקים רמת החייל,682,הברזל 25 תל אביב 69710,,03-7654333,,03-7654355,,
51,10,כוכב יאיר,683,מרכז מסחרי כוכב יאיר 44864,,09-7630911,,09-7630929,,
52,10,מרכז בנקאות פרטית חיפה,685,"שד' הנשיא 105, מרכז פנורמה חיפה 84641",,04-8350333,,04-8350350,,
