CityName,CityCode
לא רשום,0
חלוצית,1
שחר,7
תירוש,10
"ניר ח""ן",11
חצבה,13
נועם,15
בית ניר,16
שדה משה,18
באר אורה,21
מקווה ישראל,22
אמציה,23
לכיש,24
ראש פינה,26
שדות מיכה,27
מזכרת בתיה,28
יסוד המעלה,29
אופקים,31
עוצם,32
בת שלמה,33
גדות,35
שדה דוד,36
איתן,37
כרי דשא,38
גפן,39
אליכין,41
מטולה,43
זוהר,44
יבנאל,46
כפר תבור,47
מנחמיה,48
אילניה,49
לוזית,52
עתלית,53
נוגה,55
כנרת-קבוצה,57
מצפה,58
נחושה,59
דגניה א',62
כנרת-מושבה,63
"יד רמב""ם",64
מגדל,65
מרחביה )קיבוץ(,66
אור הנר,67
ניר עוז,69
אשדוד,70
אשבול,71
גן שמואל,72
עין הוד,74
כפר גלעדי,76
איילת השחר,77
קרית ענבים,78
דגניה ב',79
נהלל,80
עין חרוד )מאוחד(,82
תל יוסף,84
כפר יחזקאל,85
גבע,86
כרם בן שמן,88
עין חרוד )איחוד(,89
חפצי-בה,90
גיניגר,92
בלפוריה,94
בית אלפא,95
יגור,96
מרחביה )מושב(,97
"כפר מל""ל",98
מצפה רמון,99
מאיר שפיה,102
תל עדשים,103
מזרע,104
כפר גדעון,106
כפר סילבר,107
כפר חסידים א',112
אדירים,113
חופית,115
רמת ישי,122
שריד,126
רמת רחל,127
גת רימון,128
משמר העמק,130
כפר ברוך,132
גבת,133
יפעת,134
רמת דוד,135
עין שמר,139
כפר יהושע,140
ברק,141
שדה יעקב,142
בית זרע,143
גן שלמה,144
גדיש,145
דבורה,146
גבעת ברנר,147
תל מונד,154
באר טוביה,155
עיינות,156
עין ורד,157
נען,158
בית חנן,159
חולדה,160
חירות,162
תימורים,163
מלאה,164
ניר יפה,165
גן יבנה,166
עין החורש,167
כפר יונה,168
כפר יעבץ,170
פרדסיה,171
גבעת חיים מאוחד,173
נטעים,174
אביחיל,175
אפיקים,176
"כפר ביל""ו",177
רמת יוחנן,178
"כפר אז""ר",180
אבן יהודה,182
ירקונה,183
רמת הכובש,184
נעורים,186
כפר הס,187
אשדות יעקב מאוחד,188
כפר פינס,189
כפר ויתקין,190
הדר עם,191
כפר החורש,192
כפר חיים,193
משמר השרון,194
צורן-קדימה,195
גיבתון,196
מעברות,197
צופית,198
אשדות יעקב איחוד,199
בית ינאי,200
בית עובד,202
אלישיב,204
חגלה,205
רמות השבים,206
"גבעת ח""ן",207
מוצא עילית,208
בית צבי,212
משמרות,213
"כפר הרא""ה",217
גני עם,218
חיבת ציון,219
כפר ביאליק,220
עין עירון,223
שושנת העמקים )רסקו(,224
גן השומרון,225
גני תקווה,229
מעש,230
שפיים,232
כפר ידידיה,233
ביצרון,234
חבצלת השרון,235
שער העמקים,237
גן חיים,239
יקנעם עילית,240
יקנעם-מושבה,241
בית השיטה,242
נתיבות,246
רשפון,247
בית שערים,248
כפר סירקין,249
הזורע,250
ביתן אהרן,252
חולתה,253
כפר המכבי,254
כפר חיטים,255
ניר דוד )תל עמל(,256
נופך,257
שדה נחום,259
גינוסר,262
מסדה,263
שער הגולן,264
בית יוסף,265
כפר שמריהו,267
טירת צבי,268
מולדת,269
עין השופט,270
מעוז חיים,272
עין גב,273
כפר מנחם,274
צור משה,276
אושה,278
חניתה,280
פקיעין חדשה,281
שבי ציון,282
שדה ורבורג,284
אלונים,285
מעלה החמישה,286
תל יצחק,287
בית יהושע,288
עין המפרץ,289
מעין צבי,290
שרונה,292
שדה יואב,293
אילון,294
כפר רופין,295
נווה איתן,296
כפר מסריק,297
מסילות,298
דליה,300
בית עוזיאל,301
דפנה,302
דן,303
שדה אליהו,304
גשר,305
שדמות דבורה,306
הזורעים,307
מחניים,308
נהורה,309
כפר גליקסון,310
גן שורק,311
נווה ים,312
אפק,313
נגבה,315
כפר נטר,316
בית אורן,317
עמיעוז,318
עמיר,319
כפר ורבורג,320
בית הלל,322
שאר ישוב,324
מצובה,325
בית יצחק-שער חפר,326
שדות ים,327
עזוז,328
שדה נחמיה,329
אלומות,330
ניר צבי,331
קבוצת יבנה,334
רמת השופט,335
דורות,336
איבים,338
רמת צבי,339
ג`ת,340
גברעם,342
חמדיה,343
מענית,344
כפר סאלד,345
גליל ים,346
מנרה,347
ניר עם,348
ניצן,351
גבולות,352
בית זיד,353
רביבים,354
חורשים,355
הגושרים,356
כפר בלום,357
יד מרדכי,358
ניצנים,359
"גבעת ניל""י",360
רוחמה,362
חפץ חיים,363
כפר אוריה,364
בית קשת,365
שמיר,366
עין העמק,367
ביריה,368
גלעד )אבן יצחק(,369
גזר,370
כדורי,371
רמות נפתלי,372
בית הלוי,373
